Key,Id,Shared Comments,English(en),English(en) Comments,Japanese(ja),Japanese(ja) Comments,Korean(ko),Korean(ko) Comments
"n_0_0",996886688296960,"","???","","???","","???",""
"n_0_1",996957051940864,"","Dr. Music Woongmeong","","ミュージックわんわん博士","","뮤직멍멍박사",""
"s_0_0",2325585326080,"","Are you okay?","","気がつくかな？","","정신이 드는가?",""
"s_0_1",2537477369856,"","This is a happy music planet","","ここはハッピーミュージックの惑星だって","","여긴 해피뮤직 행성이라네",""
"s_0_2",11891408629760,"","I'm Dr. Music Woongmeong","","私はミュージックワンワン博士だよ","","나는 뮤직멍멍 박사라고 하지",""
"s_0_3",986482461372416,"","Are you the Rock, Paper, Scissors warrior who came to save our Happy Music Planet?","","君は私たちのハッピーミュージック惑星を救うために来たじゃんけんの勇士だねか？","","자네는 우리 해피뮤직 행성을 구하기 위해 온 가위 바위 보 용사로군?",""
"s_0_4",986779095134208,"","We've been waiting for you","","君だけを待っていたよ","","자네만을 기다려왔다네",""
"s_0_5",986848305344512,"","Can you defeat the evil hordes that have invaded our planet and taken away our music?","","私たちの惑星を侵略して音楽を奪った悪の群れを打ち負かしてくれ。","","우리 행성을 침략하여 음악을 빼앗은 악의 무리를 무찔러주게.",""
"s_0_6",988680779984896,"","We can reclaim our devastated planet with the rock-paper-scissors rhythm game.","","じゃんけんリズムゲームで荒廃した私たちの惑星を取り戻せるんだって","","가위 바위 보 리듬게임으로 황폐한 우리의 행성을 되찾을 수 있다네",""
"s_1_0",988925601509376,"","Let's start from level 1!","","レベル1から始めてみよう！","","레벨 1부터 시작해보지!",""
"s_1_1",1063454713573376,"","Hit the play button!","","プレイボタンを押してみる！","","플레이 버튼을 눌러보게!",""
"s_2_0",1063572237971456,"","What are you doing now?","","今何するのだ?","","지금 뭐하는 겐가?",""
"s_2_1",1063636154970112,"","Attack the monsters!","","モンスターたちを攻撃しないと！","","몬스터들을 공격해야지!",""
"s_2_2",1063748084166656,"","...","","...","","...",""
"s_2_3",1063785514135552,"","Oops! I didn't give you a weapon","","おっとっと！武器をくれなかったんだ","","아차차! 무기를 안 줬구만?",""
"s_uq_0",1396415514275840,"","The quavers from the game can be used to collect the collection elements of each village.","","ゲームから得た音符は、各町のコレクション要素を集めるために使用できます。","","게임에서 얻은 음표는 각 마을의 수집요소를 모으는데 사용할 수 있습니다.",""
"s_uq_1",1396434405421056,"","Click on the collection page.","","収集ページをクリックしてみてください。","","수집 페이지를 클릭해보세요.",""
"s_spb_0",1396452621283328,"","Press the play button to continue playing.","","プレイボタンを押して引き続きプレイすることができます。","","플레이버튼을 눌러서 계속 플레이할 수 있습니다.",""
"s_ga_0",1396465170640896,"","The more you play, the more music you can get back to each village.","","プレイをすればするほど、各町に音楽を取り戻すことができます。","","플레이를 많이 하면 할수록 각 마을에게 음악을 되찾아 줄 수 있습니다.",""
"s_rpt_0",1400354330636288,"","Oh, yeah, you're the new rock-paper-scissors rhythm game champion?","","ほう、そう、君が新しいじゃんけんのリズムゲームチャンピオンだって？","","호오, 그래 자네가 새로운 가위바위보 리듬게임 챔피언이라고?",""
"s_rpt_1",1400581926154240,"","I'm a retired rock, paper, scissors rhythm game champion, Grand.rps.","","私は引退したジャンケンリズムゲームのチャンピオン、ジャンケンおじいちゃんだよ。","","난 은퇴한 가위바위보 리듬게임 챔피언, 묵지바라네.",""
"s_rpt_2",1482548327739392,"","The hearts are filling up...","","ハートがいっぱいになってる···","","하트가 채워지고 있구만...",""
