Key,TutorialUIType,Korean,English,Spanish,Japanese
T_PlayBtn_0,MaskDescriptionAfterClick_Top,버튼을 누르면 플레이 할 수 있어요.,Press the button to play.,,
T_TrainingBtn_0,MaskDescriptionAfterClick_Bottom,훈련도감이 추가되었어요! 여러 규칙들을 연습할 수 있어요.,training has been added!,,
T_OpenAsset1_0,MaskDescriptionAfterClick_Top,버튼을 눌러서 애셋을 해금할 수 있어요.,Press the button to unlock assets.,,
T_OpenAsset2_0,Description,클리어를 하면 할수록 더 많은 애셋을 해금할 수 있어요.,Clear stages to unlock more assets.,,
T_CollectionPage1_0,MaskDescriptionAfterClick_Top,수집 버튼을 눌러보세요.,Press the collect button.,,
T_CollectionPage1_1,MaskDescription_Bottom,음표를 사용해서 음악을 수집할 수 있어요.,Use notes to collect music.,,
T_CollectionPage1_2,MaskDescriptionAfterClick_Bottom,앨범을 눌러보세요.,Check out the album.,,
T_CollectionPage1_3,MaskDescriptionAfterClick_Bottom,자물쇠를 클릭해보세요.,Click on the lock.,,
T_CollectionPage2_0,MaskDescriptionAfterClick_Bottom,음악을 클릭해보세요.,Click on the music.,,
T_CollectionPage3_0,MaskDescriptionAfterClick_Bottom,이 버튼을 누르면 음악을 재생/ 일시정지 할 수 있어요.,Press this button to play/pause the music.,,
T_CollectionPage4_0,MaskDescription_Bottom,음악을 모아서 콜렉션을 채워보세요.,Collect music to complete your collection.,,
T_LandPage1_0,MaskDescriptionAfterClick_Top,랜드 버튼을 눌러보세요.,Press the land button.,,
T_LandPage1_1,Description,이전 랜드들을 둘러볼 수 있어요!,Explore the previous lands.,,
T_LandPage1_2,MaskDescriptionAfterClick_Bottom,구한 랜드의 애니메이션을 볼 수 있어요.,You can view land animations.,,
T_LandPage2_0,MaskDescriptionAfterClick_Bottom,이전 랜드의 레벨을 플레이 할 수 있어요.,You can play previous levels.,,
T_LevelPage_0,Description,레벨을 선택하여 플레이할 수 있습니다. 음표를 모아보세요!,Select a level to play. Collect notes.,,
T_MainItemShield_0,MaskDescription_Bottom,방패아이템을 사용할 수 있어요.,You can use the shield item.,,
T_MainItemIncreaseHP_0,MaskDescription_Bottom,최대체력아이템을 사용할 수 있어요.,You can use the max health item.,,
T_MainItemHPPotion_0,MaskDescription_Bottom,회복아이템을 사용할 수 있어요.,You can use the healing item.,,
T_NextLand_0,MaskDescriptionAfterClick_Top,첫번째 마을을 완성했어요! 다음마을을 구하러 갈 수 있어요.,The first land has been completed! Let's go to the next land.,,
InGamePauseHeartInfoBox1,None,홈으로 이동 혹은 다시하기 선택 시,Going home or restarting,,
InGamePauseHeartInfoBox2,None,하트가 소모돼요!,will cost a heart!,,
InGameRetryItemSummary,None,부스터를 고르세요,Select Boosters,,
HomeBtn,None,홈으로,Home,,
ResumeBtn,None,계속하기,Resume,,
RetryBtn,None,다시하기,Retry,,
PauseTitle,None,일시정지,Pause,,
LevelTitle,None,레벨,Level,,
NextBtn,None,계속,Next,,
ShowAdToGetAHeart,None,광고보고 하트받기,Get Heart - Watch Ad,,
Refill,None,리필하기,Refill,,
GameTitle,None,가위바위보 용사,RSP Hero,,
StartGame,None,시작하기,Play,,
Complete,None,완성!,Complete!,,
Land,None,랜드,Land,,
Collection,None,수집,Collection,,
Profiles,None,프로필,Profiles,,
Level,None,레벨,Level,,
Play,None,플레이,Play,,
FreeCharge,None,무료 충전,Free Charge,,
Day,None,일,Days,,
PriceUnit,None,KRW,USD,,
WonderLand,None,원더 랜드,Wonder Land,,
VikingLand,None,노르드 랜드,Nord Land,,
CosmosLand,None,코스모스 랜드,Cosmos Land,,
EDMLand,None,EDM 랜드,EDM Land,,
ArabianLand,None,아라비안 랜드,Arabian Land,,
TropicalLand,None,코코비치 랜드,Coco Beach Land,,
JazzLand,None,재즈 카페 타운,Jazz Cafe Town,,
HalloweenLand,None,할로우 랜드,Hallow Land,,
SelectBooster,None,부스터를 선택하세요,Select Boosters,,
WonderAsset_1,None,마법의 성,Magic Castle,,
WonderAsset_2,None,분수,Fountain,,
WonderAsset_3,None,관람차,Ferris Wheel,,
WonderAsset_4,None,피아노 집,Piano House,,
WonderAsset_5,None,드럼 집,Drum House,,
WonderAsset_6,None,기타 집,Guitar House,,
WonderAsset_7,None,실로폰 다리,Xylophone Bridge,,
LastAsset,None,마법 부리기,Do a Magic,,
UnlockComplete,None,완료시 해제,Unlock,,
VikingAsset_1,None,바이킹 하우스,Viking House,,
VikingAsset_2,None,바이킹 술집,Viking Bar,,
VikingAsset_3,None,바이킹 숙소,Viking Dorm,,
VikingAsset_4,None,바이킹 타워,Viking Tower,,
VikingAsset_5,None,바이킹 선착장,Viking Dock,,
VikingAsset_6,None,바이킹 훈련장,Training Ground,,
VikingAsset_7,None,바이킹 배,Viking Ship,,
CosmosAsset_1,None,행성 레이더,Radar,,
CosmosAsset_2,None,우주 이정표,Space Sign,,
CosmosAsset_3,None,우주 호텔,Space Hotel,,
CosmosAsset_4,None,우주 기지,Space Basecamp,,
CosmosAsset_5,None,우주 비행선,SpaceShip,,
CosmosAsset_6,None,우주 탐사선,Space Rover,,
CosmosAsset_7,None,인공위성,Satellite,,
EDMAsset_1,None,네온 전광판,Neon Sign,,
EDMAsset_2,None,네온 마이크,Neon Mic,,
EDMAsset_3,None,네온 스피커,Neon Speaker,,
EDMAsset_4,None,네온 헤드셋,Neon Headset,,
EDMAsset_5,None,네온 조명,Neon Light,,
EDMAsset_6,None,네온 블록,Neon Block,,
EDMAsset_7,None,네온 키보드,Neon Keyboard,,
Unlock,None,해제,Unlock,,
NextLand,None,다음 마을,Next Land,,
Store,None,상점,Store,,
stplight,None,빛의 선물,Light Present,,
stpsavior,None,구원자 선물,Savior's Present,,
stp29,None,이구 선물~,EQ's Present,,
stpguardian,None,수호자 선물,Guardian's Present,,
stpmaster,None,마스터 선물,Master's Present,,
stplegend,None,전설의 선물,Legend's Present,,
MoreProduct,None,더 많은 상품이 있어요!,More Products!,,
SpecialPresent,None,특별 선물,Special Present,,
View,None,보기,View,,
Notifications,None,알림,Notifications,,
Vibrations,None,진동,Vibrations,,
Game,None,게임,Game,,
Sound,None,효과음,Sound,,
Music,None,음악,Music,,
Main,None,메인,Main,,
Setting,None,설정,Settings,,
LogOut,None,로그아웃  하기,Log Out,,
TermsofServices,None,이용약관 & 개인정보 보호정책,Terms of Services & Privacy Policy,,
GeneralStats,None,일반 기록,General Stats,,
FirstTryWins,None,한 번에 성공,First Try Wins,,
QuaverCount,None,음표 개수,Quavers,,
FullCombo,None,풀 콤보 횟수,Full Combo,,
SavedTown,None,구한 마을,Towns,,
CompletedAlbum,None,완성한 앨범,Albums,,
ColledtedMusic,None,수집한 음악,Musics,,
ArabianAsset_1,None,아라비안 성,Arabian Castle,,
ArabianAsset_2,None,아라비안 집,Arabian House,,
ArabianAsset_3,None,과일 가게,Fruit Store,,
ArabianAsset_4,None,아라비안 텐트,Arabian Tent,,
ArabianAsset_5,None,아라비안 돔,Arabian Dome,,
ArabianAsset_6,None,아라비안 테라스,Arabian Terrace,,
ArabianAsset_7,None,아라비안 분수,Arabian Fountain,,
ArabianAsset_8,None,아라비안 카펫,Arabian Carpet,,
TropicalAsset_1,None,트로피컬 하우스,Tropical House,,
