Id,Sentence
s_rpt_0,"호오, 그래 자네가 새로운 가위바위보 리듬게임 챔피언이라고?"
s_rpt_2,하트가 채워지고 있구만...
s_spb_0,플레이버튼을 눌러서 계속 플레이할 수 있습니다.
s_ga_0,플레이를 많이 하면 할수록 각 마을에게 음악을 되찾아 줄 수 있습니다.
s_1_1,플레이 버튼을 눌러보게!
s_2_0,지금 뭐하는 겐가?
s_0_0,정신이 드는가?
s_0_4,자네만을 기다려왔다네
s_0_3,자네는 우리 해피뮤직 행성을 구하기 위해 온 가위 바위 보 용사로군?
s_0_5,우리 행성을 침략하여 음악을 빼앗은 악의 무리를 무찔러주게.
s_0_1,여긴 해피뮤직 행성이라네
s_2_3,아차차! 무기를 안 줬구만?
s_uq_1,수집 페이지를 클릭해보세요.
n_0_1,뮤직멍멍박사
s_2_1,몬스터들을 공격해야지!
s_1_0,레벨 1부터 시작해보지!
s_rpt_1,"난 은퇴한 가위바위보 리듬게임 챔피언, 묵지바라네."
s_0_2,나는 뮤직멍멍 박사라고 하지
s_uq_0,게임에서 얻은 음표는 각 마을의 수집요소를 모으는데 사용할 수 있습니다.
s_0_6,가위 바위 보 리듬게임으로 황폐한 우리의 행성을 되찾을 수 있다네
n_0_0,???
s_2_2,...
